,course_id,section_name,meeting_id,building_abb,room,monday,tuesday,wednesday,thursday,friday,saturday,sunday,frequency,section_status,days,section_title,min_credits,faculty_name,meeting_info,course_description,co_reqs,pre_reqs,building_names,faculty_first,faculty_last,division,department_abbreviation,department_name,course_num,seven_week,term,start_date,end_date,start_time,end_time,gen_ed_abb,gen_ed_names,same_as,max_credits,also_fulfills,section_comments,lab,c_id
0,99281,PSYC-130-A,59847.0,VALD,375,Y,,Y,,Y,,,W,A,MWF,General Psychology,4,S.Travers,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 08:00AM - 09:00AM, Valders, Room 375","An introduction to the field of psychology intended for both majors and non-majors. Topics covered include social processes, personality, emotional disorders, development, thinking, testing, learning, motivation, perception, psychobiology, and animal behavior. This course is prerequisite to all other psychology courses.",,,Valders Hall of Science,S,Travers,Social Sciences,PSYC,Psychology,130,0,Fall 2016,8/31/16,12/15/16,08:00,09:00,HBSSM,Human Behavior Social Science Methods,,0.0,HB,,,505
1,99282,PSYC-130-B,59848.0,VALD,375,Y,,Y,,Y,,,W,A,MWF,General Psychology,4,S.Travers,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Valders, Room 375","An introduction to the field of psychology intended for both majors and non-majors. Topics covered include social processes, personality, emotional disorders, development, thinking, testing, learning, motivation, perception, psychobiology, and animal behavior. This course is prerequisite to all other psychology courses.",,,Valders Hall of Science,S,Travers,Social Sciences,PSYC,Psychology,130,0,Fall 2016,8/31/16,12/15/16,09:15,10:15,HBSSM,Human Behavior Social Science Methods,,0.0,HB,,,505
2,99283,PSYC-130-C,59849.0,VALD,350,Y,,Y,,Y,,,W,A,MWF,General Psychology,4,D.Njus,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Valders, Room 350","An introduction to the field of psychology intended for both majors and non-majors. Topics covered include social processes, personality, emotional disorders, development, thinking, testing, learning, motivation, perception, psychobiology, and animal behavior. This course is prerequisite to all other psychology courses.",,,Valders Hall of Science,D,Njus,Social Sciences,PSYC,Psychology,130,0,Fall 2016,8/31/16,12/15/16,12:15,13:15,HBSSM,Human Behavior Social Science Methods,,0.0,HB,,,505
3,99284,PSYC-130-D,59850.0,VALD,345,,Y,,Y,,,,W,A,TR,General Psychology,4,J.Sprung,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 08:00AM - 09:30AM, Valders, Room 345","An introduction to the field of psychology intended for both majors and non-majors. Topics covered include social processes, personality, emotional disorders, development, thinking, testing, learning, motivation, perception, psychobiology, and animal behavior. This course is prerequisite to all other psychology courses.",,,Valders Hall of Science,J,Sprung,Social Sciences,PSYC,Psychology,130,0,Fall 2016,8/31/16,12/15/16,08:00,09:30,HBSSM,Human Behavior Social Science Methods,,0.0,HB,,,505
4,99285,PSYC-130-E,59851.0,VALD,252,,Y,,Y,,,,W,A,TR,General Psychology,4,J.Sprung,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 11:00AM - 12:30PM, Valders, Room 252","An introduction to the field of psychology intended for both majors and non-majors. Topics covered include social processes, personality, emotional disorders, development, thinking, testing, learning, motivation, perception, psychobiology, and animal behavior. This course is prerequisite to all other psychology courses.",,,Valders Hall of Science,J,Sprung,Social Sciences,PSYC,Psychology,130,0,Fall 2016,8/31/16,12/15/16,11:00,12:30,HBSSM,Human Behavior Social Science Methods,,0.0,HB,,,505
5,98836,MATH-110-A,59852.0,OLIN,108,Y,,Y,,Y,,,W,A,MWF,Mathematics in Our World,4,C.Wangsness,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 08:00AM - 09:00AM, Olin, Room 108","Quantitative literacy plays an important role in an increasing number of professional fields, as well as in the daily decisionmaking of informed citizens in our changing society.  This course is designed to improve students quantitative reasoning and problem-solving skills by acquainting them with various real-world applications of mathematical reasoning, such as fair division, voting and apportionment, graph theory, probability, statistics, the mathematics of finance, check digits and coding, and geometry. This course is recommended for students who wish to take a non-calculus-based mathematics class as they prepare for their lives as informed members of a larger world. Prerequisite: high school algebra. ",,,Olin,C,Wangsness,Sciences,MATH,Mathematics,110,0,Fall 2016,8/31/16,12/15/16,08:00,09:00,QUANT,Quantitative,,0.0,,,,994
6,98837,MATH-115-A,59853.0,OLIN,106,Y,,Y,,Y,,,W,A,MWF,Introduction to Statistics,4,D.Mitchell,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 08:00AM - 09:00AM, Olin, Room 106","The course uses data sets from the social and natural sciences to help students understand and interpret statistical information. Computer software is used to study data from graphical and numerical perspectives.  Topics covered include descriptive statistics, correlation, linear regression, contingency tables, probablity distributions, sampling methods, confidence intervals, and tests of hypotheses. This class does not count towards the mathematics major or minor or the mathematics/statistics major. Students who earn credit for BIO 256, MGT 150, PSYC 350, or Soc 350 may not earn credit for MATH 115. Prerequisite: high school algebra.",,,Olin,D,Mitchell,Sciences,MATH,Mathematics,115,0,Fall 2016,8/31/16,12/15/16,08:00,09:00,QUANT,Quantitative,,0.0,,Students should not enroll in Math 115 if completed prior coursework in statistics.,,740
7,99286,PSYC-240-A,59854.0,VALD,254,Y,,Y,,Y,,,W,A,MWF,Developmental Psychology,4,D.Njus,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 08:00AM - 09:00AM, Valders, Room 254","Developmental psychology is the branch of psychology that studies how people change as they age. This course focuses on the description, prediction, and explanation of physical, cognitive, and psychosocial aspects of age-related change, from conception to old age.",,PSYC 130,Valders Hall of Science,D,Njus,Social Sciences,PSYC,Psychology,240,0,Fall 2016,8/31/16,12/15/16,08:00,09:00,HB,Human Behavior,,0.0,,,,1040
8,98838,MATH-115-B,59855.0,OLIN,104,Y,,Y,,Y,,,W,A,MWF,Introduction to Statistics,4,D.Mitchell,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Olin, Room 104","The course uses data sets from the social and natural sciences to help students understand and interpret statistical information. Computer software is used to study data from graphical and numerical perspectives.  Topics covered include descriptive statistics, correlation, linear regression, contingency tables, probablity distributions, sampling methods, confidence intervals, and tests of hypotheses. This class does not count towards the mathematics major or minor or the mathematics/statistics major. Students who earn credit for BIO 256, MGT 150, PSYC 350, or Soc 350 may not earn credit for MATH 115. Prerequisite: high school algebra.",,,Olin,D,Mitchell,Sciences,MATH,Mathematics,115,0,Fall 2016,8/31/16,12/15/16,12:15,13:15,QUANT,Quantitative,,0.0,,Students should not enroll in Math 115 if completed prior course work in statistics.,,740
9,99287,PSYC-240-B,59856.0,VALD,254,Y,,Y,,Y,,,W,A,MWF,Developmental Psychology,4,D.Njus,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Valders, Room 254","Developmental psychology is the branch of psychology that studies how people change as they age. This course focuses on the description, prediction, and explanation of physical, cognitive, and psychosocial aspects of age-related change, from conception to old age.",,PSYC 130,Valders Hall of Science,D,Njus,Social Sciences,PSYC,Psychology,240,0,Fall 2016,8/31/16,12/15/16,09:15,10:15,HB,Human Behavior,,0.0,,,,1040
10,99288,PSYC-241-A,59858.0,VALD,252,,Y,,Y,,,,W,A,TR,Psychology of Health/Illness,4,L.Toussaint,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 02:30PM - 04:00PM, Valders, Room 252","This course deals with the scientific and professional contributions of the discipline of psychology to the promotion and maintenance of health; the prevention and treatment of illness; and the identification of etiologic and diagnostic correlates of health, illness, and related dysfunctions.",,PSYC 130.,Valders Hall of Science,L,Toussaint,Social Sciences,PSYC,Psychology,241,0,Fall 2016,8/31/16,12/15/16,14:30,16:00,HB,Human Behavior,,0.0,,,,725
